repo cwd             : /vepfs-cnbja62d5d769987/liushaokun/sys_work/MoCLE-main
train_file           : /vepfs-cnbja62d5d769987/liushaokun/sys_work/MoCLE-main/data/hydralora_pseudo_v2fix_all_mocle_standard/train.json
output_dir           : /vepfs-cnbja62d5d769987/liushaokun/sys_work/MoCLE-main/outputs/mocle_hydralora_standard_hydraopt_shuffle_20260503_031729
tensorboard_log_dir  : /vepfs-cnbja62d5d769987/liushaokun/sys_work/MoCLE-main/outputs/mocle_hydralora_standard_hydraopt_shuffle_20260503_031729/tb_logs
model                : /vepfs-cnbja62d5d769987/liushaokun/models/Llama-3.2-1B
tokenizer            : /vepfs-cnbja62d5d769987/liushaokun/models/Llama-3.2-1B
requested device     : cuda
actual device        : cuda
cuda visible devices : 1
gpu name             : NVIDIA L20
gpu memory free/total: 44.11 GiB / 44.39 GiB
samples loaded       : 95523
shuffle train        : True
batch keys           : ['attention_mask', 'cluster_id', 'input_ids', 'labels']
batch input_ids shape: (1, 277)
batch labels shape   : (1, 277)
first batch cluster_id: 2
num experts          : 4
max steps            : 11940
lr scheduler         : cosine
warmup steps         : 358
logging steps        : 10
save steps           : 1000
supervised tokens    : 2
loading model...
model init           : from_pretrained
trainable params: 6,815,744 || all params: 1,242,630,144 || trainable%: 0.5484933737451648
train mode           : mocle
total params         : 1242630144
trainable params     : 6815744
MOCLE_ROUTE step=1 raw_cluster_id=3 expert=expert_3
MOCLE_ROUTE step=1 raw_cluster_id=1 expert=expert_1
MOCLE_ROUTE step=1 raw_cluster_id=1 expert=expert_1
MOCLE_ROUTE step=1 raw_cluster_id=0 expert=expert_0
MOCLE_ROUTE step=1 raw_cluster_id=0 expert=expert_0
MOCLE_ROUTE step=1 raw_cluster_id=1 expert=expert_1
MOCLE_ROUTE step=1 raw_cluster_id=1 expert=expert_1
MOCLE_ROUTE step=1 raw_cluster_id=2 expert=expert_2
TRAIN_STEP step=520 expert=expert_2 cluster_id=2 loss=0.710367 lr=1.999035e-04 grad_norm=2.950570 seq_len=255 tokens=255 step_time=0.069s
TRAIN_STEP step=530 expert=expert_0 cluster_id=0 loss=0.139396 lr=1.998912e-04 grad_norm=4.269143 seq_len=272 tokens=272 step_time=0.068s
TRAIN_STEP step=540 expert=expert_2 cluster_id=2 loss=0.729773 lr=1.998782e-04 grad_norm=2.948571 seq_len=274 tokens=274 step_time=0.069s
TRAIN_STEP step=550 expert=expert_1 cluster_id=1 loss=0.528953 lr=1.998644e-04 grad_norm=3.289457 seq_len=357 tokens=357 step_time=0.058s
TRAIN_STEP step=560 expert=expert_1 cluster_id=1 loss=0.168225 lr=1.998499e-04 grad_norm=2.704903 seq_len=365 tokens=365 step_time=0.073s
TRAIN_STEP step=570 expert=expert_0 cluster_id=0 loss=0.695605 lr=1.998347e-04 grad_norm=2.556038 seq_len=250 tokens=250 step_time=0.064s
TRAIN_STEP step=580 expert=expert_0 cluster_id=0 loss=0.583328 lr=1.998188e-04 grad_norm=4.321394 seq_len=280 tokens=280 step_time=0.069s
TRAIN_STEP step=590 expert=expert_1 cluster_id=1 loss=0.204248 lr=1.998021e-04 grad_norm=3.060763 seq_len=351 tokens=351 step_time=0.064s
TRAIN_STEP step=600 expert=expert_1 cluster_id=1 loss=0.957740 lr=1.997846e-04 grad_norm=2.426764 seq_len=351 tokens=351 step_time=0.068s
TRAIN_STEP step=610 expert=expert_1 cluster_id=1 loss=0.258283 lr=1.997665e-04 grad_norm=3.871155 seq_len=342 tokens=342 step_time=0.069s
TRAIN_STEP step=620 expert=expert_2 cluster_id=2 loss=0.682851 lr=1.997476e-04 grad_norm=3.084550 seq_len=281 tokens=281 step_time=0.064s
TRAIN_STEP step=630 expert=expert_0 cluster_id=0 loss=0.178338 lr=1.997280e-04 grad_norm=2.525576 seq_len=221 tokens=221 step_time=0.064s
TRAIN_STEP step=640 expert=expert_3 cluster_id=3 loss=0.664451 lr=1.997076e-04 grad_norm=0.706191 seq_len=491 tokens=491 step_time=0.068s
TRAIN_STEP step=650 expert=expert_2 cluster_id=2 loss=0.710030 lr=1.996865e-04 grad_norm=4.087346 seq_len=264 tokens=264 step_time=0.063s
TRAIN_STEP step=660 expert=expert_0 cluster_id=0 loss=0.572449 lr=1.996647e-04 grad_norm=1.837155 seq_len=287 tokens=287 step_time=0.069s
TRAIN_STEP step=670 expert=expert_2 cluster_id=2 loss=0.604985 lr=1.996421e-04 grad_norm=3.455493 seq_len=273 tokens=273 step_time=0.067s
TRAIN_STEP step=680 expert=expert_0 cluster_id=0 loss=0.196025 lr=1.996188e-04 grad_norm=5.572114 seq_len=240 tokens=240 step_time=0.069s
TRAIN_STEP step=690 expert=expert_2 cluster_id=2 loss=0.742655 lr=1.995948e-04 grad_norm=3.156835 seq_len=261 tokens=261 step_time=0.063s
TRAIN_STEP step=700 expert=expert_0 cluster_id=0 loss=1.758844 lr=1.995700e-04 grad_norm=7.944614 seq_len=253 tokens=253 step_time=0.064s
TRAIN_STEP step=710 expert=expert_0 cluster_id=0 loss=0.606191 lr=1.995445e-04 grad_norm=3.721265 seq_len=257 tokens=257 step_time=0.063s
TRAIN_STEP step=720 expert=expert_0 cluster_id=0 loss=0.198072 lr=1.995183e-04 grad_norm=5.089689 seq_len=229 tokens=229 step_time=0.064s
TRAIN_STEP step=730 expert=expert_3 cluster_id=3 loss=0.809447 lr=1.994913e-04 grad_norm=4.935619 seq_len=506 tokens=506 step_time=0.068s
TRAIN_STEP step=740 expert=expert_1 cluster_id=1 loss=0.256545 lr=1.994637e-04 grad_norm=3.833985 seq_len=332 tokens=332 step_time=0.068s
TRAIN_STEP step=750 expert=expert_1 cluster_id=1 loss=0.072985 lr=1.994352e-04 grad_norm=3.224439 seq_len=361 tokens=361 step_time=0.063s
TRAIN_STEP step=760 expert=expert_0 cluster_id=0 loss=0.106949 lr=1.994061e-04 grad_norm=2.407823 seq_len=237 tokens=237 step_time=0.074s
TRAIN_STEP step=770 expert=expert_0 cluster_id=0 loss=1.609373 lr=1.993762e-04 grad_norm=6.458933 seq_len=258 tokens=258 step_time=0.068s
TRAIN_STEP step=780 expert=expert_2 cluster_id=2 loss=0.667709 lr=1.993456e-04 grad_norm=1.162611 seq_len=275 tokens=275 step_time=0.063s
TRAIN_STEP step=790 expert=expert_0 cluster_id=0 loss=0.878545 lr=1.993142e-04 grad_norm=2.425328 seq_len=239 tokens=239 step_time=0.069s
TRAIN_STEP step=800 expert=expert_0 cluster_id=0 loss=0.260179 lr=1.992822e-04 grad_norm=2.128437 seq_len=239 tokens=239 step_time=0.063s
